case_id,generator_variant,target_volume_fraction,target_mean_diameter_um,target_mean_ps,target_kappa,matrix_mu,matrix_alpha,matrix_d,fiber_mu,fiber_alpha,stabilizer_mu,stabilizer_alpha,preferred_direction_x,preferred_direction_y,preferred_direction_z,seed,cpus,double_precision
case_0017,straight,0.39065,0.440397,0.8776,0,281.194872,-6.402519,0,353.922236,23.384831,1,2,1,0,0,42,4,FALSE
case_0018,straight,0.325807,0.401749,0.8776,0,282.284878,-22.795185,0,138.695941,7.414623,1,2,1,0,0,42,4,FALSE
case_0019,straight,0.329484,0.436845,0.8776,0,238.795708,-10.758726,0,704.212462,24.479111,1,2,1,0,0,42,4,FALSE
case_0020,straight,0.35035,0.403317,0.8776,0,121.938223,-14.059373,0,111.478224,20.103586,1,2,1,0,0,42,4,FALSE
case_0021,straight,0.34907,0.407877,0.8776,0,97.545926,-12.056405,0,785.694808,6.652985,1,2,1,0,0,42,4,FALSE
case_0022,straight,0.348041,0.516704,0.8776,0,237.896054,-18.650362,0,208.78909,29.103324,1,2,1,0,0,42,4,FALSE
case_0023,straight,0.369028,0.518512,0.8776,0,259.157632,-9.211563,0,159.820306,10.38359,1,2,1,0,0,42,4,FALSE
case_0024,straight,0.38681,0.47989,0.8776,0,98.47985,-15.13178,0,163.145985,8.039287,1,2,1,0,0,42,4,FALSE
case_0025,straight,0.366572,0.473553,0.8776,0,228.630888,-20.826214,0,103.351611,18.395699,1,2,1,0,0,42,4,FALSE
case_0026,straight,0.326015,0.453249,0.8776,0,168.985126,-21.683869,0,311.759764,24.105822,1,2,1,0,0,42,4,FALSE
case_0027,straight,0.311358,0.566366,0.8776,0,119.169595,-5.651756,0,156.954545,13.462848,1,2,1,0,0,42,4,FALSE
case_0028,straight,0.386357,0.580509,0.8776,0,287.221614,-10.806386,0,494.365741,20.699834,1,2,1,0,0,42,4,FALSE
case_0029,straight,0.324837,0.449145,0.8776,0,298.666129,-18.430607,0,369.803343,15.228328,1,2,1,0,0,42,4,FALSE
case_0030,straight,0.384409,0.54335,0.8776,0,273.992179,-7.254426,0,359.296054,2.516547,1,2,1,0,0,42,4,FALSE
case_0031,straight,0.36683,0.480478,0.8776,0,320.128827,-18.571014,0,179.841602,9.989385,1,2,1,0,0,42,4,FALSE
case_0032,straight,0.347863,0.472284,0.8776,0,174.417273,-23.550121,0,146.133482,19.077668,1,2,1,0,0,42,4,FALSE
case_0033,straight,0.304729,0.587777,0.8776,0,106.963048,-5.797903,0,505.362694,4.201977,1,2,1,0,0,42,4,FALSE
case_0034,straight,0.319415,0.514251,0.8776,0,86.166064,-8.305108,0,205.618331,8.141789,1,2,1,0,0,42,4,FALSE
case_0035,straight,0.381102,0.597221,0.8776,0,222.554547,-6.218712,0,300.74046,5.442623,1,2,1,0,0,42,4,FALSE
case_0036,straight,0.378536,0.418042,0.8776,0,380.210672,-6.274984,0,213.774495,11.993465,1,2,1,0,0,42,4,FALSE
case_0037,straight,0.324587,0.527799,0.8776,0,109.128796,-5.752756,0,285.366066,23.250473,1,2,1,0,0,42,4,FALSE
case_0038,straight,0.311676,0.497055,0.8776,0,89.974564,-24.392405,0,562.991115,29.26588,1,2,1,0,0,42,4,FALSE
case_0039,straight,0.354099,0.418614,0.8776,0,172.019558,-11.432671,0,858.718331,23.283777,1,2,1,0,0,42,4,FALSE
case_0040,straight,0.395953,0.434031,0.8776,0,88.264796,-10.133432,0,121.664066,7.026475,1,2,1,0,0,42,4,FALSE
case_0041,straight,0.334725,0.505624,0.8776,0,226.000822,-12.196383,0,211.249971,27.997006,1,2,1,0,0,42,4,FALSE
case_0042,straight,0.302968,0.522441,0.8776,0,373.890501,-21.145139,0,114.759348,18.605835,1,2,1,0,0,42,4,FALSE
case_0043,straight,0.380289,0.586351,0.8776,0,210.629416,-15.314952,0,587.515995,14.229754,1,2,1,0,0,42,4,FALSE
case_0044,straight,0.384252,0.509463,0.8776,0,83.186519,-17.191835,0,110.823485,29.795904,1,2,1,0,0,42,4,FALSE
case_0045,straight,0.309996,0.421089,0.8776,0,225.76395,-23.741546,0,440.28949,22.929973,1,2,1,0,0,42,4,FALSE
case_0046,straight,0.339944,0.47741,0.8776,0,92.585735,-16.825319,0,765.801702,22.597027,1,2,1,0,0,42,4,FALSE
case_0047,straight,0.343177,0.472988,0.8776,0,293.808252,-18.286682,0,337.763066,19.882541,1,2,1,0,0,42,4,FALSE
case_0048,straight,0.376619,0.465067,0.8776,0,141.798123,-8.968389,0,246.440954,16.00923,1,2,1,0,0,42,4,FALSE
case_0049,straight,0.311963,0.554308,0.8776,0,157.509203,-7.767245,0,231.636254,9.766171,1,2,1,0,0,42,4,FALSE
case_0050,straight,0.300598,0.434865,0.8776,0,165.433892,-4.889852,0,717.770551,13.85252,1,2,1,0,0,42,4,FALSE
case_0051,straight,0.381688,0.421959,0.8776,0,175.91724,-6.308802,0,252.929369,19.180888,1,2,1,0,0,42,4,FALSE
case_0052,straight,0.396054,0.408867,0.8776,0,125.177706,-13.64078,0,141.37091,11.200687,1,2,1,0,0,42,4,FALSE
case_0053,straight,0.392974,0.504212,0.8776,0,330.823278,-11.156836,0,143.158488,26.406989,1,2,1,0,0,42,4,FALSE
case_0054,straight,0.34753,0.429524,0.8776,0,110.056316,-24.145523,0,701.274354,28.093984,1,2,1,0,0,42,4,FALSE
case_0055,straight,0.366219,0.589172,0.8776,0,92.46788,-10.340196,0,106.019358,18.058672,1,2,1,0,0,42,4,FALSE
case_0056,straight,0.385286,0.544519,0.8776,0,107.398905,-16.238638,0,605.886505,4.40657,1,2,1,0,0,42,4,FALSE
case_0057,straight,0.325187,0.578808,0.8776,0,150.165493,-14.396482,0,100.641568,23.785846,1,2,1,0,0,42,4,FALSE
case_0058,straight,0.370132,0.471076,0.8776,0,190.329692,-18.107002,0,482.096752,26.763781,1,2,1,0,0,42,4,FALSE
case_0059,straight,0.343612,0.435981,0.8776,0,203.011123,-14.993105,0,204.650277,22.676994,1,2,1,0,0,42,4,FALSE
case_0060,straight,0.344116,0.445804,0.8776,0,200.055903,-16.692936,0,663.858713,14.109992,1,2,1,0,0,42,4,FALSE
case_0061,straight,0.377877,0.426815,0.8776,0,154.469015,-16.095456,0,424.577738,15.00699,1,2,1,0,0,42,4,FALSE
case_0062,straight,0.376501,0.561039,0.8776,0,193.210841,-9.48579,0,211.573764,3.444765,1,2,1,0,0,42,4,FALSE
case_0063,straight,0.379022,0.584225,0.8776,0,253.957603,-13.981337,0,170.594718,20.797765,1,2,1,0,0,42,4,FALSE
case_0064,straight,0.313193,0.533814,0.8776,0,134.531489,-7.637511,0,124.802039,24.985803,1,2,1,0,0,42,4,FALSE
case_0065,straight,0.342806,0.419015,0.8776,0,374.578719,-24.078902,0,106.746812,17.315243,1,2,1,0,0,42,4,FALSE
case_0066,straight,0.397919,0.518219,0.8776,0,201.073359,-5.963551,0,154.015159,15.823471,1,2,1,0,0,42,4,FALSE
case_0067,straight,0.35821,0.530842,0.8776,0,173.207623,-16.953734,0,566.818205,24.843881,1,2,1,0,0,42,4,FALSE
case_0068,straight,0.366027,0.428952,0.8776,0,83.684119,-18.74933,0,260.265987,12.468524,1,2,1,0,0,42,4,FALSE
case_0069,straight,0.344962,0.443038,0.8776,0,87.884374,-21.042324,0,466.763109,26.529439,1,2,1,0,0,42,4,FALSE
case_0070,straight,0.322756,0.456581,0.8776,0,296.353266,-19.014111,0,111.984548,5.560391,1,2,1,0,0,42,4,FALSE
case_0071,straight,0.364074,0.503586,0.8776,0,229.652036,-5.469103,0,624.173528,10.251434,1,2,1,0,0,42,4,FALSE
case_0072,straight,0.381754,0.58348,0.8776,0,103.016057,-12.011166,0,584.615583,10.029979,1,2,1,0,0,42,4,FALSE
case_0073,straight,0.31017,0.561701,0.8776,0,161.121253,-24.382314,0,104.796917,21.80741,1,2,1,0,0,42,4,FALSE
case_0074,straight,0.35936,0.475109,0.8776,0,204.152277,-15.379687,0,256.546125,20.548143,1,2,1,0,0,42,4,FALSE
case_0075,straight,0.310572,0.599315,0.8776,0,155.188328,-4.735441,0,160.220073,28.109393,1,2,1,0,0,42,4,FALSE
case_0076,straight,0.357184,0.446231,0.8776,0,106.177129,-14.044788,0,397.310537,4.213065,1,2,1,0,0,42,4,FALSE
case_0077,straight,0.326628,0.45087,0.8776,0,351.764187,-4.093554,0,206.923688,25.101299,1,2,1,0,0,42,4,FALSE
case_0078,straight,0.349165,0.556128,0.8776,0,216.152744,-24.912459,0,349.256463,12.162568,1,2,1,0,0,42,4,FALSE
case_0079,straight,0.353817,0.483343,0.8776,0,98.278262,-16.737642,0,247.03897,19.907162,1,2,1,0,0,42,4,FALSE
case_0080,straight,0.367539,0.516982,0.8776,0,142.980863,-6.712793,0,193.242521,13.143343,1,2,1,0,0,42,4,FALSE
case_0081,straight,0.337236,0.470962,0.8776,0,96.70645,-9.775094,0,426.929636,8.492234,1,2,1,0,0,42,4,FALSE
case_0082,straight,0.350849,0.566988,0.8776,0,130.359746,-7.689457,0,882.234708,6.696344,1,2,1,0,0,42,4,FALSE
case_0083,straight,0.38931,0.501165,0.8776,0,149.021851,-5.441062,0,606.799959,4.652886,1,2,1,0,0,42,4,FALSE
case_0084,straight,0.394341,0.409566,0.8776,0,321.136884,-16.933288,0,675.09823,26.123998,1,2,1,0,0,42,4,FALSE
case_0085,straight,0.318477,0.480706,0.8776,0,252.994913,-7.818522,0,142.133282,7.356943,1,2,1,0,0,42,4,FALSE
case_0086,straight,0.321472,0.536759,0.8776,0,185.909076,-21.017286,0,193.971771,3.491822,1,2,1,0,0,42,4,FALSE
case_0087,straight,0.379403,0.412749,0.8776,0,332.306462,-12.471594,0,755.177312,8.608894,1,2,1,0,0,42,4,FALSE
case_0088,straight,0.397212,0.574068,0.8776,0,362.01117,-12.543163,0,948.999425,18.251152,1,2,1,0,0,42,4,FALSE
case_0089,straight,0.31081,0.549625,0.8776,0,105.615277,-15.00733,0,234.638436,7.099019,1,2,1,0,0,42,4,FALSE
case_0090,straight,0.371865,0.520911,0.8776,0,96.198211,-5.221865,0,469.026957,28.886908,1,2,1,0,0,42,4,FALSE
case_0091,straight,0.355523,0.439041,0.8776,0,115.058876,-22.718374,0,130.931282,11.216399,1,2,1,0,0,42,4,FALSE
case_0092,straight,0.397432,0.535218,0.8776,0,218.393943,-19.552683,0,683.210386,25.539695,1,2,1,0,0,42,4,FALSE
case_0093,straight,0.300813,0.467028,0.8776,0,396.949114,-14.675945,0,338.641185,20.784421,1,2,1,0,0,42,4,FALSE
case_0094,straight,0.38972,0.588355,0.8776,0,248.479973,-24.125487,0,259.297329,9.826868,1,2,1,0,0,42,4,FALSE
case_0095,straight,0.377259,0.563792,0.8776,0,271.902893,-15.104838,0,545.782429,26.714387,1,2,1,0,0,42,4,FALSE
case_0096,straight,0.360496,0.54177,0.8776,0,108.01525,-21.809472,0,295.936233,22.998947,1,2,1,0,0,42,4,FALSE
case_0097,straight,0.387074,0.403479,0.8776,0,210.85334,-12.507449,0,101.176927,21.581803,1,2,1,0,0,42,4,FALSE
case_0098,straight,0.303967,0.473004,0.8776,0,94.089527,-22.366917,0,447.976025,12.047044,1,2,1,0,0,42,4,FALSE
case_0099,straight,0.394887,0.428709,0.8776,0,86.930232,-15.166084,0,259.975076,21.096724,1,2,1,0,0,42,4,FALSE
case_0100,straight,0.313502,0.573502,0.8776,0,163.880954,-10.868967,0,654.691398,7.631351,1,2,1,0,0,42,4,FALSE
case_0101,straight,0.307629,0.414727,0.8776,0,200.302838,-4.020197,0,158.449312,27.339525,1,2,1,0,0,42,4,FALSE
case_0102,straight,0.342624,0.505533,0.8776,0,111.474614,-15.739749,0,433.061334,25.309662,1,2,1,0,0,42,4,FALSE
case_0103,straight,0.30458,0.598761,0.8776,0,155.281719,-6.132965,0,808.679445,25.136778,1,2,1,0,0,42,4,FALSE
case_0104,straight,0.316683,0.553551,0.8776,0,117.718735,-4.116931,0,635.654552,25.614985,1,2,1,0,0,42,4,FALSE
case_0105,straight,0.38418,0.583979,0.8776,0,198.783115,-4.632707,0,399.169773,3.393774,1,2,1,0,0,42,4,FALSE
case_0106,straight,0.373211,0.563522,0.8776,0,95.942278,-17.56982,0,490.772315,17.230135,1,2,1,0,0,42,4,FALSE
case_0107,straight,0.38842,0.511531,0.8776,0,109.408147,-14.312412,0,325.496771,12.269722,1,2,1,0,0,42,4,FALSE
case_0108,straight,0.336542,0.559689,0.8776,0,265.146649,-8.776967,0,527.659152,21.724924,1,2,1,0,0,42,4,FALSE
case_0109,straight,0.389195,0.485826,0.8776,0,293.666714,-22.940682,0,233.179317,4.528796,1,2,1,0,0,42,4,FALSE
case_0110,straight,0.308317,0.548307,0.8776,0,160.542152,-4.968998,0,103.19957,27.116637,1,2,1,0,0,42,4,FALSE
case_0111,straight,0.307978,0.538737,0.8776,0,177.189546,-20.424946,0,367.428223,16.323607,1,2,1,0,0,42,4,FALSE
case_0112,straight,0.341,0.499851,0.8776,0,93.185136,-18.945739,0,467.848909,27.832062,1,2,1,0,0,42,4,FALSE
case_0113,straight,0.307021,0.47025,0.8776,0,239.095378,-15.672405,0,411.324149,17.503753,1,2,1,0,0,42,4,FALSE
case_0114,straight,0.307323,0.454235,0.8776,0,90.560526,-23.145045,0,598.109242,21.051755,1,2,1,0,0,42,4,FALSE
case_0115,straight,0.344085,0.511931,0.8776,0,339.888189,-6.786651,0,224.52056,21.472642,1,2,1,0,0,42,4,FALSE
case_0116,straight,0.347941,0.402424,0.8776,0,316.583907,-14.576645,0,119.845014,26.013988,1,2,1,0,0,42,4,FALSE
case_0117,straight,0.392616,0.483493,0.8776,0,126.806737,-19.060582,0,132.846508,6.400546,1,2,1,0,0,42,4,FALSE
case_0118,straight,0.384996,0.41584,0.8776,0,99.735398,-6.597502,0,576.239715,10.959118,1,2,1,0,0,42,4,FALSE
case_0119,straight,0.387102,0.444635,0.8776,0,299.356459,-20.624262,0,830.829105,24.339201,1,2,1,0,0,42,4,FALSE
case_0120,straight,0.376492,0.557775,0.8776,0,83.922356,-13.896949,0,804.936761,9.244126,1,2,1,0,0,42,4,FALSE
case_0121,straight,0.318332,0.50452,0.8776,0,285.090885,-7.306887,0,180.73982,7.451174,1,2,1,0,0,42,4,FALSE
case_0122,straight,0.375468,0.585682,0.8776,0,100.813561,-13.128453,0,770.010986,23.766929,1,2,1,0,0,42,4,FALSE
case_0123,straight,0.325711,0.446521,0.8776,0,254.194932,-12.986762,0,634.305285,18.788271,1,2,1,0,0,42,4,FALSE
case_0124,straight,0.384815,0.447579,0.8776,0,89.407099,-8.017866,0,208.174253,19.093389,1,2,1,0,0,42,4,FALSE
case_0125,straight,0.345409,0.557936,0.8776,0,108.755903,-11.274062,0,151.957826,26.486575,1,2,1,0,0,42,4,FALSE
case_0126,straight,0.348259,0.494153,0.8776,0,152.061703,-17.725932,0,477.088972,18.093306,1,2,1,0,0,42,4,FALSE
case_0127,straight,0.375793,0.590912,0.8776,0,189.294997,-18.129032,0,201.108011,25.419326,1,2,1,0,0,42,4,FALSE
case_0128,straight,0.313748,0.414949,0.8776,0,179.930729,-13.26883,0,915.755091,9.66991,1,2,1,0,0,42,4,FALSE
case_0129,straight,0.363204,0.568767,0.8776,0,136.515244,-9.255735,0,255.831799,16.589583,1,2,1,0,0,42,4,FALSE
case_0130,straight,0.358902,0.469822,0.8776,0,114.684585,-5.810216,0,772.590266,23.469958,1,2,1,0,0,42,4,FALSE
case_0131,straight,0.389224,0.431384,0.8776,0,247.127216,-17.394897,0,855.956483,22.192485,1,2,1,0,0,42,4,FALSE
case_0132,straight,0.328542,0.419716,0.8776,0,90.436348,-4.87947,0,215.176539,23.569341,1,2,1,0,0,42,4,FALSE
case_0133,straight,0.398347,0.527816,0.8776,0,362.602972,-19.729027,0,119.003115,9.850595,1,2,1,0,0,42,4,FALSE
case_0134,straight,0.380999,0.468028,0.8776,0,208.543996,-21.848906,0,175.19376,16.299778,1,2,1,0,0,42,4,FALSE
case_0135,straight,0.361165,0.523794,0.8776,0,198.019132,-7.433127,0,999.566855,11.962079,1,2,1,0,0,42,4,FALSE
case_0136,straight,0.392185,0.419955,0.8776,0,234.8484,-20.702333,0,219.570394,17.810218,1,2,1,0,0,42,4,FALSE
case_0137,straight,0.35236,0.40215,0.8776,0,141.99833,-9.467865,0,152.650022,19.266916,1,2,1,0,0,42,4,FALSE
case_0138,straight,0.35058,0.591069,0.8776,0,186.729032,-17.796142,0,194.485408,28.447821,1,2,1,0,0,42,4,FALSE
case_0139,straight,0.397025,0.403757,0.8776,0,126.02934,-24.000098,0,361.232711,11.009069,1,2,1,0,0,42,4,FALSE
case_0140,straight,0.379535,0.477095,0.8776,0,268.732485,-10.506154,0,435.736795,10.578991,1,2,1,0,0,42,4,FALSE
case_0141,straight,0.379717,0.5655,0.8776,0,111.06215,-13.175556,0,639.616314,19.141462,1,2,1,0,0,42,4,FALSE
case_0142,straight,0.304868,0.558747,0.8776,0,201.54124,-16.175598,0,268.735533,6.497999,1,2,1,0,0,42,4,FALSE
case_0143,straight,0.306555,0.426027,0.8776,0,269.433354,-6.355862,0,119.635823,2.917662,1,2,1,0,0,42,4,FALSE
case_0144,straight,0.329083,0.567528,0.8776,0,211.286096,-9.865136,0,544.834151,12.627557,1,2,1,0,0,42,4,FALSE
case_0145,straight,0.307856,0.560474,0.8776,0,227.570803,-21.9856,0,100.90437,4.330459,1,2,1,0,0,42,4,FALSE
case_0146,straight,0.320951,0.59344,0.8776,0,339.050184,-22.89318,0,266.756792,17.898853,1,2,1,0,0,42,4,FALSE
case_0147,straight,0.330914,0.513507,0.8776,0,89.73186,-12.992857,0,402.243431,2.004283,1,2,1,0,0,42,4,FALSE
case_0148,straight,0.395678,0.465769,0.8776,0,90.204981,-5.497991,0,470.200136,2.554452,1,2,1,0,0,42,4,FALSE
case_0149,straight,0.33596,0.417666,0.8776,0,186.27253,-21.274494,0,195.522795,5.358423,1,2,1,0,0,42,4,FALSE
case_0150,straight,0.338985,0.582239,0.8776,0,348.688687,-7.545681,0,379.687547,4.960637,1,2,1,0,0,42,4,FALSE
case_0151,straight,0.319383,0.588839,0.8776,0,86.736263,-4.716241,0,463.666897,3.92129,1,2,1,0,0,42,4,FALSE
case_0152,straight,0.304914,0.546911,0.8776,0,105.906585,-24.353538,0,212.870548,13.932816,1,2,1,0,0,42,4,FALSE
case_0153,straight,0.326314,0.547266,0.8776,0,270.070465,-11.01256,0,826.73792,2.863155,1,2,1,0,0,42,4,FALSE
case_0154,straight,0.354156,0.566611,0.8776,0,95.425406,-12.416739,0,107.245891,28.614705,1,2,1,0,0,42,4,FALSE
case_0155,straight,0.336093,0.520151,0.8776,0,116.577547,-7.755296,0,172.9837,28.675869,1,2,1,0,0,42,4,FALSE
case_0156,straight,0.339545,0.431096,0.8776,0,282.730732,-17.913262,0,206.241837,5.321581,1,2,1,0,0,42,4,FALSE
case_0157,straight,0.38816,0.50989,0.8776,0,207.803708,-6.077419,0,632.243263,4.094984,1,2,1,0,0,42,4,FALSE
case_0158,straight,0.326517,0.553133,0.8776,0,102.426465,-13.014568,0,176.496031,11.316346,1,2,1,0,0,42,4,FALSE
case_0159,straight,0.377024,0.485448,0.8776,0,139.585743,-18.068194,0,151.347328,7.137405,1,2,1,0,0,42,4,FALSE
case_0160,straight,0.370024,0.455186,0.8776,0,138.307841,-10.308201,0,454.543662,2.462629,1,2,1,0,0,42,4,FALSE
case_0161,straight,0.349643,0.53104,0.8776,0,363.253326,-13.690033,0,110.335265,22.271931,1,2,1,0,0,42,4,FALSE
case_0162,straight,0.383842,0.404049,0.8776,0,158.124164,-15.049978,0,273.061574,11.691798,1,2,1,0,0,42,4,FALSE
case_0163,straight,0.355218,0.591899,0.8776,0,278.386997,-5.834962,0,225.456262,7.553025,1,2,1,0,0,42,4,FALSE
case_0164,straight,0.367157,0.522068,0.8776,0,156.475349,-4.930232,0,719.082315,20.596348,1,2,1,0,0,42,4,FALSE
case_0165,straight,0.339846,0.410313,0.8776,0,294.51556,-11.877781,0,479.548467,9.255675,1,2,1,0,0,42,4,FALSE
case_0166,straight,0.335117,0.500883,0.8776,0,94.795743,-7.601658,0,195.281083,20.020799,1,2,1,0,0,42,4,FALSE
case_0167,straight,0.388816,0.460147,0.8776,0,344.105233,-10.011328,0,108.518797,28.214712,1,2,1,0,0,42,4,FALSE
case_0168,straight,0.367692,0.43725,0.8776,0,266.851259,-7.590117,0,304.350383,26.216834,1,2,1,0,0,42,4,FALSE
case_0169,straight,0.39129,0.592178,0.8776,0,206.340299,-24.601329,0,789.559749,12.242189,1,2,1,0,0,42,4,FALSE
case_0170,straight,0.338599,0.446689,0.8776,0,254.698838,-14.115154,0,392.928995,16.912713,1,2,1,0,0,42,4,FALSE
case_0171,straight,0.362498,0.556358,0.8776,0,126.62057,-8.588235,0,199.976822,28.023729,1,2,1,0,0,42,4,FALSE
case_0172,straight,0.361297,0.418424,0.8776,0,220.905549,-12.587293,0,349.002816,11.48879,1,2,1,0,0,42,4,FALSE
case_0173,straight,0.376314,0.494819,0.8776,0,109.759051,-12.72778,0,199.20108,8.264411,1,2,1,0,0,42,4,FALSE
case_0174,straight,0.346815,0.480371,0.8776,0,178.217571,-10.12213,0,600.320175,19.565397,1,2,1,0,0,42,4,FALSE
case_0175,straight,0.325325,0.517159,0.8776,0,92.758045,-21.441712,0,409.044062,4.79019,1,2,1,0,0,42,4,FALSE
case_0176,straight,0.37171,0.479501,0.8776,0,131.039358,-17.528731,0,157.657378,6.127494,1,2,1,0,0,42,4,FALSE
case_0177,straight,0.344571,0.472757,0.8776,0,205.758005,-7.295716,0,457.894036,29.062776,1,2,1,0,0,42,4,FALSE
case_0178,straight,0.371099,0.433914,0.8776,0,294.879111,-14.124883,0,492.849073,17.456249,1,2,1,0,0,42,4,FALSE
case_0179,straight,0.380132,0.478218,0.8776,0,213.600909,-16.535666,0,347.749962,27.083338,1,2,1,0,0,42,4,FALSE
case_0180,straight,0.353653,0.44843,0.8776,0,185.328908,-24.048814,0,965.657972,8.42903,1,2,1,0,0,42,4,FALSE
case_0181,straight,0.352536,0.535611,0.8776,0,161.430405,-19.229917,0,894.392689,14.948077,1,2,1,0,0,42,4,FALSE
case_0182,straight,0.330078,0.407375,0.8776,0,274.750908,-4.801711,0,425.036085,14.468478,1,2,1,0,0,42,4,FALSE
case_0183,straight,0.322592,0.49769,0.8776,0,389.127255,-19.791743,0,118.16528,8.187594,1,2,1,0,0,42,4,FALSE
case_0184,straight,0.300286,0.573202,0.8776,0,193.687347,-24.569753,0,357.173348,13.366789,1,2,1,0,0,42,4,FALSE
case_0185,straight,0.327205,0.580939,0.8776,0,98.747634,-23.330499,0,283.142876,3.632065,1,2,1,0,0,42,4,FALSE
case_0186,straight,0.33428,0.501994,0.8776,0,137.734941,-20.550733,0,728.899955,16.158215,1,2,1,0,0,42,4,FALSE
case_0187,straight,0.396313,0.58015,0.8776,0,130.775811,-17.923454,0,749.989573,29.480726,1,2,1,0,0,42,4,FALSE
case_0188,straight,0.390205,0.471604,0.8776,0,80.573855,-17.138497,0,854.416841,17.158232,1,2,1,0,0,42,4,FALSE
case_0189,straight,0.39774,0.427282,0.8776,0,106.28917,-11.23344,0,214.194861,27.61166,1,2,1,0,0,42,4,FALSE
case_0190,straight,0.362346,0.424914,0.8776,0,143.314825,-17.680392,0,309.948752,23.311057,1,2,1,0,0,42,4,FALSE
case_0191,straight,0.359401,0.50047,0.8776,0,118.794462,-16.337114,0,145.794075,26.429155,1,2,1,0,0,42,4,FALSE
case_0192,straight,0.383951,0.458615,0.8776,0,352.758331,-22.150686,0,437.536424,24.489861,1,2,1,0,0,42,4,FALSE
case_0193,straight,0.32194,0.48126,0.8776,0,279.998919,-17.466727,0,127.71249,23.749887,1,2,1,0,0,42,4,FALSE
case_0194,straight,0.391498,0.499266,0.8776,0,100.309526,-22.173223,0,712.053489,15.580499,1,2,1,0,0,42,4,FALSE
case_0195,straight,0.340588,0.419227,0.8776,0,164.408341,-9.958901,0,582.790522,27.397957,1,2,1,0,0,42,4,FALSE
case_0196,straight,0.322149,0.562955,0.8776,0,91.481616,-15.631633,0,190.546491,5.878688,1,2,1,0,0,42,4,FALSE
case_0197,straight,0.370844,0.411789,0.8776,0,147.252481,-24.867657,0,193.03049,23.107611,1,2,1,0,0,42,4,FALSE
case_0198,straight,0.330113,0.550153,0.8776,0,195.510732,-21.903357,0,118.313255,21.498297,1,2,1,0,0,42,4,FALSE
case_0199,straight,0.363511,0.531315,0.8776,0,379.351011,-5.199914,0,159.264577,5.50728,1,2,1,0,0,42,4,FALSE
case_0200,straight,0.375132,0.52153,0.8776,0,122.092825,-9.56878,0,215.381388,13.969742,1,2,1,0,0,42,4,FALSE
case_0201,straight,0.36775,0.49164,0.8776,0,87.593432,-6.747445,0,309.43472,22.700191,1,2,1,0,0,42,4,FALSE
case_0202,straight,0.39201,0.429786,0.8776,0,335.655344,-10.764191,0,149.394239,2.571662,1,2,1,0,0,42,4,FALSE
case_0203,straight,0.388713,0.4361,0.8776,0,276.915633,-12.895165,0,787.161378,13.203791,1,2,1,0,0,42,4,FALSE
case_0204,straight,0.314844,0.530453,0.8776,0,340.8166,-12.262904,0,149.681814,17.428832,1,2,1,0,0,42,4,FALSE
